path,binary_label,stratify_label,split
Brain_Stroke_CT_Dataset/Normal/PNG/15667.png,0,Normal,train
Brain_Stroke_CT_Dataset/Ischemia/PNG/15988.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Ischemia/OVERLAY/14180.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Normal/PNG/11968.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/12494.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/13949.png,0,Normal,train
Brain_Stroke_CT_Dataset/Ischemia/PNG/12135.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Ischemia/OVERLAY/10682.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Bleeding/OVERLAY/14012.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Ischemia/OVERLAY/12831.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Normal/PNG/15933.png,0,Normal,train
Brain_Stroke_CT_Dataset/Bleeding/PNG/16807.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Ischemia/OVERLAY/10926.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Normal/PNG/11163.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/12760.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/15273.png,0,Normal,train
Brain_Stroke_CT_Dataset/Bleeding/OVERLAY/16481.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Normal/PNG/14998.png,0,Normal,train
Brain_Stroke_CT_Dataset/Bleeding/PNG/13624.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Ischemia/PNG/10575.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Ischemia/OVERLAY/13667.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Normal/PNG/10900.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/16624.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/15731.png,0,Normal,train
Brain_Stroke_CT_Dataset/Bleeding/PNG/15595.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Normal/PNG/11372.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/15421.png,0,Normal,train
Brain_Stroke_CT_Dataset/Ischemia/PNG/15571.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Ischemia/PNG/13091.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Bleeding/PNG/10420.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Ischemia/OVERLAY/14986.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Ischemia/PNG/11101.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Ischemia/PNG/15481.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Normal/PNG/10336.png,0,Normal,train
Brain_Stroke_CT_Dataset/Bleeding/PNG/12561.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Normal/PNG/10807.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/13796.png,0,Normal,train
Brain_Stroke_CT_Dataset/Ischemia/OVERLAY/12556.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Bleeding/PNG/15720.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Ischemia/OVERLAY/16342.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Bleeding/PNG/15118.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Normal/PNG/15109.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/16302.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/11589.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/14249.png,0,Normal,train
Brain_Stroke_CT_Dataset/Ischemia/PNG/13340.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Bleeding/OVERLAY/15054.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Bleeding/OVERLAY/12887.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Normal/PNG/11666.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/15400.png,0,Normal,train
Brain_Stroke_CT_Dataset/Ischemia/OVERLAY/15650.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Bleeding/OVERLAY/14178.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Normal/PNG/14535.png,0,Normal,train
Brain_Stroke_CT_Dataset/Ischemia/PNG/14391.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Normal/PNG/16575.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/11418.png,0,Normal,train
Brain_Stroke_CT_Dataset/Bleeding/OVERLAY/10985.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Bleeding/OVERLAY/10194.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Normal/PNG/14618.png,0,Normal,train
Brain_Stroke_CT_Dataset/Ischemia/OVERLAY/16567.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Ischemia/OVERLAY/15771.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Normal/PNG/11455.png,0,Normal,train
Brain_Stroke_CT_Dataset/Bleeding/PNG/13817.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Normal/PNG/11912.png,0,Normal,train
Brain_Stroke_CT_Dataset/Ischemia/PNG/16151.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Bleeding/PNG/15843.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Ischemia/OVERLAY/14254.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Ischemia/PNG/14368.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Normal/PNG/16754.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/13022.png,0,Normal,train
Brain_Stroke_CT_Dataset/Ischemia/PNG/16062.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Bleeding/OVERLAY/12339.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Normal/PNG/15789.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/11289.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/15388.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/15157.png,0,Normal,train
Brain_Stroke_CT_Dataset/Bleeding/OVERLAY/10688.png,1,Bleeding,train
Brain_Stroke_CT_Dataset/Normal/PNG/15152.png,0,Normal,train
Brain_Stroke_CT_Dataset/Normal/PNG/10654.png,0,Normal,train
Brain_Stroke_CT_Dataset/Ischemia/PNG/10650.png,1,Ischemia,train
Brain_Stroke_CT_Dataset/Normal/PNG/14541.png,0,Normal,train
Brain_Stroke_CT_Dataset/Bleeding/OVERLAY/13953.png,1,Bleeding,train
